                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5285,                   1.47,                 1.3959,                0.66852,                0.54407,                0.59674,                 0.3782,                 1.3892,                 1.1508,                 1.3125,               0.005644,               0.005644,               0.005644
                     47,                 1.5252,                 1.4542,                 1.3877,                0.66687,                 0.5452,                0.59784,                0.37964,                 1.3874,                 1.1468,                 1.3108,               0.005545,               0.005545,               0.005545
                     48,                 1.5225,                 1.4457,                  1.386,                0.66839,                 0.5462,                0.59891,                0.38054,                 1.3854,                 1.1428,                 1.3092,               0.005446,               0.005446,               0.005446
                     49,                 1.5155,                 1.4419,                 1.3826,                0.67166,                0.54924,                0.59992,                0.38162,                 1.3834,                 1.1388,                 1.3076,               0.005347,               0.005347,               0.005347
                     50,                 1.5154,                 1.4381,                 1.3825,                 0.6659,                0.55509,                0.60148,                 0.3825,                 1.3817,                 1.1351,                 1.3061,               0.005248,               0.005248,               0.005248
                     51,                 1.5064,                 1.4176,                 1.3716,                0.66051,                0.55792,                0.60323,                0.38347,                 1.3798,                 1.1309,                 1.3043,               0.005149,               0.005149,               0.005149
                     52,                 1.5051,                 1.4104,                 1.3723,                0.67167,                0.55218,                0.60473,                0.38499,                 1.3779,                 1.1271,                 1.3027,                0.00505,                0.00505,                0.00505
                     53,                 1.5039,                 1.4047,                 1.3724,                0.66123,                0.56067,                0.60653,                0.38638,                 1.3761,                 1.1232,                 1.3013,               0.004951,               0.004951,               0.004951
                     54,                 1.5002,                 1.4005,                 1.3697,                0.66678,                 0.5605,                0.60742,                0.38759,                 1.3741,                 1.1194,                 1.2997,               0.004852,               0.004852,               0.004852
                     55,                 1.4945,                 1.3953,                  1.365,                0.67284,                0.55613,                0.60861,                0.38886,                 1.3722,                 1.1152,                 1.2982,               0.004753,               0.004753,               0.004753
                     56,                 1.4925,                 1.3913,                 1.3639,                0.58378,                0.56056,                0.60923,                0.38999,                 1.3702,                 1.1113,                 1.2965,               0.004654,               0.004654,               0.004654
                     57,                 1.4887,                 1.3803,                 1.3627,                0.58398,                0.56288,                0.61061,                0.39115,                 1.3683,                 1.1069,                  1.295,               0.004555,               0.004555,               0.004555
                     58,                 1.4816,                 1.3743,                  1.358,                0.58333,                0.56776,                 0.6117,                0.39281,                 1.3663,                 1.1025,                 1.2934,               0.004456,               0.004456,               0.004456
                     59,                 1.4828,                 1.3698,                 1.3562,                0.58347,                0.56985,                 0.6133,                0.39353,                 1.3642,                 1.0983,                 1.2916,               0.004357,               0.004357,               0.004357
                     60,                 1.4806,                  1.364,                 1.3559,                0.58803,                0.56775,                0.61365,                0.39476,                 1.3623,                 1.0939,                   1.29,               0.004258,               0.004258,               0.004258
                     61,                 1.4752,                 1.3513,                 1.3479,                0.59039,                0.56972,                0.61521,                0.39592,                 1.3601,                 1.0894,                  1.288,               0.004159,               0.004159,               0.004159
                     62,                 1.4705,                 1.3463,                 1.3414,                0.59151,                0.57182,                0.61673,                0.39721,                  1.358,                 1.0849,                 1.2861,                0.00406,                0.00406,                0.00406
                     63,                 1.4697,                 1.3375,                 1.3422,                0.59262,                0.57308,                0.61881,                0.39863,                 1.3559,                   1.08,                 1.2843,               0.003961,               0.003961,               0.003961
                     64,                 1.4636,                  1.328,                 1.3425,                0.59861,                0.57274,                 0.6208,                 0.4003,                 1.3536,                 1.0752,                 1.2823,               0.003862,               0.003862,               0.003862
                     65,                 1.4567,                  1.322,                 1.3346,                0.60056,                0.57447,                0.62279,                0.40214,                 1.3512,                 1.0705,                 1.2803,               0.003763,               0.003763,               0.003763
                     66,                 1.4498,                 1.3136,                 1.3343,                0.60142,                0.57527,                0.62446,                0.40365,                 1.3488,                 1.0655,                 1.2784,               0.003664,               0.003664,               0.003664
                     67,                 1.4552,                 1.3113,                 1.3325,                0.60179,                0.57818,                0.62659,                0.40528,                 1.3462,                 1.0606,                 1.2763,               0.003565,               0.003565,               0.003565
                     68,                 1.4492,                 1.2984,                 1.3281,                0.69153,                0.58071,                0.62863,                0.40752,                 1.3437,                 1.0554,                 1.2741,               0.003466,               0.003466,               0.003466
                     69,                 1.4437,                 1.2951,                 1.3252,                0.69371,                0.58144,                 0.6313,                0.40885,                 1.3412,                 1.0504,                 1.2719,               0.003367,               0.003367,               0.003367
                     70,                 1.4394,                 1.2874,                 1.3242,                 0.6969,                0.58277,                0.63301,                0.41013,                 1.3384,                 1.0451,                 1.2699,               0.003268,               0.003268,               0.003268
                     71,                 1.4378,                 1.2791,                 1.3225,                0.69836,                0.58304,                0.63452,                0.41161,                 1.3358,                 1.0396,                 1.2678,               0.003169,               0.003169,               0.003169
                     72,                 1.4325,                 1.2748,                 1.3203,                0.69909,                0.58626,                0.63615,                0.41276,                 1.3331,                 1.0344,                 1.2656,                0.00307,                0.00307,                0.00307
                     73,                 1.4254,                  1.257,                 1.3101,                0.69979,                0.58904,                0.63856,                0.41431,                 1.3302,                  1.029,                 1.2631,               0.002971,               0.002971,               0.002971
                     74,                 1.4228,                 1.2605,                 1.3072,                0.69955,                0.59059,                0.63867,                0.41593,                 1.3273,                 1.0237,                 1.2608,               0.002872,               0.002872,               0.002872
                     75,                 1.4214,                 1.2438,                 1.3075,                0.70276,                0.59066,                0.64065,                0.41784,                 1.3244,                 1.0182,                 1.2584,               0.002773,               0.002773,               0.002773
                     76,                 1.4135,                 1.2382,                 1.3059,                0.70237,                0.59044,                0.64064,                0.41899,                 1.3213,                 1.0128,                 1.2562,               0.002674,               0.002674,               0.002674
                     77,                 1.4107,                 1.2268,                 1.3015,                 0.7071,                0.58972,                0.64288,                 0.4209,                 1.3184,                 1.0073,                 1.2539,               0.002575,               0.002575,               0.002575
                     78,                 1.3983,                 1.2191,                 1.2947,                0.71023,                0.59362,                0.64666,                0.42272,                 1.3154,                 1.0019,                 1.2515,               0.002476,               0.002476,               0.002476
                     79,                 1.3969,                 1.2132,                 1.2939,                 0.7153,                0.59315,                0.65157,                 0.4266,                 1.3123,                0.99667,                 1.2491,               0.002377,               0.002377,               0.002377
                     80,                 1.3893,                 1.2019,                 1.2893,                0.71196,                0.59545,                0.65326,                0.42788,                 1.3093,                0.99112,                 1.2467,               0.002278,               0.002278,               0.002278
                     81,                 1.3902,                 1.1961,                 1.2875,                0.71393,                0.59689,                0.65585,                0.42958,                 1.3063,                0.98549,                 1.2443,               0.002179,               0.002179,               0.002179
                     82,                 1.3821,                 1.1848,                 1.2813,                0.72254,                0.59339,                0.65819,                0.43188,                 1.3033,                0.97994,                 1.2417,                0.00208,                0.00208,                0.00208
                     83,                 1.3753,                 1.1706,                 1.2765,                0.72001,                0.59723,                0.65974,                0.43375,                 1.3001,                0.97435,                 1.2392,               0.001981,               0.001981,               0.001981
                     84,                 1.3733,                 1.1668,                 1.2767,                0.71738,                0.60509,                 0.6635,                0.43731,                 1.2969,                0.96886,                 1.2369,               0.001882,               0.001882,               0.001882
                     85,                 1.3673,                 1.1606,                 1.2743,                 0.7205,                0.60583,                0.66549,                0.43938,                 1.2938,                 0.9633,                 1.2345,               0.001783,               0.001783,               0.001783
                     86,                 1.3602,                 1.1554,                 1.2702,                0.71879,                0.60917,                 0.6681,                0.44143,                 1.2905,                0.95778,                 1.2321,               0.001684,               0.001684,               0.001684
                     87,                 1.3594,                 1.1435,                 1.2673,                 0.7193,                 0.6115,                0.67133,                0.44354,                 1.2871,                0.95226,                 1.2297,               0.001585,               0.001585,               0.001585
                     88,                 1.3516,                 1.1322,                 1.2602,                0.73129,                 0.6055,                0.67268,                0.44663,                 1.2839,                0.94658,                 1.2272,               0.001486,               0.001486,               0.001486
                     89,                 1.3442,                 1.1266,                 1.2581,                0.73961,                0.60547,                  0.675,                0.44918,                 1.2807,                0.94095,                 1.2247,               0.001387,               0.001387,               0.001387
                     90,                 1.3378,                 1.1233,                  1.256,                0.73672,                0.60802,                 0.6766,                0.45119,                 1.2771,                0.93534,                 1.2221,               0.001288,               0.001288,               0.001288
                     91,                 1.3261,                 1.0121,                 1.2746,                0.74335,                0.60728,                0.67992,                0.45399,                 1.2735,                0.92962,                 1.2196,               0.001189,               0.001189,               0.001189
                     92,                 1.3135,                0.98873,                 1.2621,                0.74088,                 0.6169,                0.68296,                0.45684,                 1.2697,                 0.9236,                 1.2169,                0.00109,                0.00109,                0.00109
                     93,                 1.3026,                0.98046,                 1.2607,                0.74542,                0.61739,                0.68475,                0.45855,                 1.2656,                0.91754,                 1.2142,               0.000991,               0.000991,               0.000991
                     94,                 1.2879,                0.95916,                 1.2505,                0.74925,                0.61856,                0.68891,                0.46175,                 1.2616,                0.91122,                 1.2114,               0.000892,               0.000892,               0.000892
                     95,                  1.283,                0.94816,                 1.2459,                0.75094,                0.62171,                0.69316,                0.46533,                 1.2577,                0.90482,                 1.2086,               0.000793,               0.000793,               0.000793
                     96,                 1.2716,                0.93401,                 1.2378,                0.75075,                 0.6247,                 0.6978,                0.46925,                 1.2536,                0.89854,                 1.2058,               0.000694,               0.000694,               0.000694
                     97,                 1.2642,                0.92526,                 1.2334,                0.75022,                0.62908,                0.69919,                0.47159,                 1.2495,                0.89226,                 1.2029,               0.000595,               0.000595,               0.000595
                     98,                 1.2559,                0.91602,                 1.2288,                0.75087,                0.63172,                 0.7045,                0.47517,                 1.2452,                0.88589,                    1.2,               0.000496,               0.000496,               0.000496
                     99,                 1.2476,                 0.9014,                 1.2249,                0.75116,                0.63118,                0.71274,                0.48206,                 1.2412,                0.87954,                 1.1971,               0.000397,               0.000397,               0.000397
                    100,                 1.2455,                0.90234,                  1.224,                0.75221,                0.63576,                0.73107,                0.49469,                 1.2371,                0.87324,                 1.1941,               0.000298,               0.000298,               0.000298
